Latitude,Longitude,Source File,Stop Name,Line,Distance (m)
40.775036,-73.912034,MTA_Subway.csv,Astoria-Ditmars Blvd,Astoria,0
40.770258,-73.917843,MTA_Subway.csv,Astoria Blvd,Astoria,0
40.766779,-73.921479,MTA_Subway.csv,30 Av,Astoria,0
40.76182,-73.925508,MTA_Subway.csv,Broadway,Astoria,0
40.756804,-73.929575,MTA_Subway.csv,36 Av,Astoria,0
40.752882,-73.932755,MTA_Subway.csv,39 Av-Dutch Kills,Astoria,0
40.76266,-73.967258,MTA_Subway.csv,Lexington Av/59 St,Astoria,0
40.764811,-73.973347,MTA_Subway.csv,5 Av/59 St,Astoria,0
40.764664,-73.980658,MTA_Subway.csv,57 St-7 Av,Broadway - Brighton,0
40.759901,-73.984139,MTA_Subway.csv,49 St,Broadway - Brighton,0
40.754672,-73.986754,MTA_Subway.csv,Times Sq-42 St,Broadway - Brighton,0
40.749567,-73.98795,MTA_Subway.csv,34 St-Herald Sq,Broadway - Brighton,0
40.745494,-73.988691,MTA_Subway.csv,28 St,Broadway - Brighton,0
40.741303,-73.989344,MTA_Subway.csv,23 St,Broadway - Brighton,0
40.735736,-73.990568,MTA_Subway.csv,14 St-Union Sq,Broadway - Brighton,0
40.730328,-73.992629,MTA_Subway.csv,8 St-NYU,Broadway - Brighton,0
40.724329,-73.997702,MTA_Subway.csv,Prince St,Broadway - Brighton,0
40.719527,-74.001775,MTA_Subway.csv,Canal St,Broadway,0
40.718383,-74.00046,MTA_Subway.csv,Canal St,Manhattan Bridge,0
40.713282,-74.006978,MTA_Subway.csv,City Hall,Broadway,0
40.710668,-74.011029,MTA_Subway.csv,Cortlandt St,Broadway,0
40.70722,-74.013342,MTA_Subway.csv,Rector St,Broadway,0
40.703087,-74.012994,MTA_Subway.csv,Whitehall St-South Ferry,Broadway,0
40.6941,-73.991777,MTA_Subway.csv,Court St,Broadway,0
40.69218,-73.985942,MTA_Subway.csv,Jay St-MetroTech,Broadway,0
40.690635,-73.981824,MTA_Subway.csv,DeKalb Av,Broadway - Brighton,0
40.683666,-73.97881,MTA_Subway.csv,Atlantic Av-Barclays Ctr,4th Av,0
40.677316,-73.98311,MTA_Subway.csv,Union St,4th Av,0
40.670847,-73.988302,MTA_Subway.csv,4 Av-9 St,4th Av,0
40.665414,-73.992872,MTA_Subway.csv,Prospect Av,4th Av,0
40.660397,-73.998091,MTA_Subway.csv,25 St,4th Av,0
40.655144,-74.003549,MTA_Subway.csv,36 St,4th Av,0
40.648939,-74.010006,MTA_Subway.csv,45 St,4th Av,0
40.645069,-74.014034,MTA_Subway.csv,53 St,4th Av,0
40.641362,-74.017881,MTA_Subway.csv,59 St,4th Av,0
40.634967,-74.023377,MTA_Subway.csv,Bay Ridge Av,4th Av,0
40.629742,-74.02551,MTA_Subway.csv,77 St,4th Av,0
40.622687,-74.028398,MTA_Subway.csv,86 St,4th Av,0
40.616622,-74.030876,MTA_Subway.csv,Bay Ridge-95 St,4th Av,0
40.68446,-73.97689,MTA_Subway.csv,Atlantic Av-Barclays Ctr,Broadway - Brighton,0
40.67705,-73.972367,MTA_Subway.csv,7 Av,Broadway - Brighton,0
40.661614,-73.962246,MTA_Subway.csv,Prospect Park,Broadway - Brighton,0
40.655292,-73.961495,MTA_Subway.csv,Parkside Av,Broadway - Brighton,0
40.650527,-73.962982,MTA_Subway.csv,Church Av,Broadway - Brighton,0
40.644031,-73.964492,MTA_Subway.csv,Beverley Rd,Broadway - Brighton,0
40.640927,-73.963891,MTA_Subway.csv,Cortelyou Rd,Broadway - Brighton,0
40.635082,-73.962793,MTA_Subway.csv,Newkirk Plaza,Broadway - Brighton,0
40.62927,-73.961639,MTA_Subway.csv,Avenue H,Broadway - Brighton,0
40.625039,-73.960803,MTA_Subway.csv,Avenue J,Broadway - Brighton,0
40.617618,-73.959399,MTA_Subway.csv,Avenue M,Broadway - Brighton,0
40.60867,-73.957734,MTA_Subway.csv,Kings Hwy,Broadway - Brighton,0
40.5993,-73.955929,MTA_Subway.csv,Avenue U,Broadway - Brighton,0
40.595246,-73.955161,MTA_Subway.csv,Neck Rd,Broadway - Brighton,0
40.586896,-73.954155,MTA_Subway.csv,Sheepshead Bay,Broadway - Brighton,0
40.577621,-73.961376,MTA_Subway.csv,Brighton Beach,Broadway - Brighton,0
40.576312,-73.968501,MTA_Subway.csv,Ocean Pkwy,Broadway - Brighton,0
40.576127,-73.975939,MTA_Subway.csv,W 8 St-NY Aquarium,Broadway - Brighton,0
40.577422,-73.981233,MTA_Subway.csv,Coney Island-Stillwell Av,Sea Beach / West End / Culver / Brighton,0
40.646292,-73.994324,MTA_Subway.csv,9 Av,West End,0
40.640914,-73.994304,MTA_Subway.csv,Fort Hamilton Pkwy,West End,0
40.63626,-73.994791,MTA_Subway.csv,50 St,West End,0
40.631435,-73.995476,MTA_Subway.csv,55 St,West End,0
40.626472,-73.996895,MTA_Subway.csv,62 St,West End,0
40.619589,-73.998864,MTA_Subway.csv,71 St,West End,0
40.613501,-74.00061,MTA_Subway.csv,79 St,West End,0
40.607954,-74.001736,MTA_Subway.csv,18 Av,West End,0
40.604556,-73.998168,MTA_Subway.csv,20 Av,West End,0
40.601875,-73.993728,MTA_Subway.csv,Bay Pkwy,West End,0
40.597704,-73.986829,MTA_Subway.csv,25 Av,West End,0
40.588841,-73.983765,MTA_Subway.csv,Bay 50 St,West End,0
40.635064,-74.011719,MTA_Subway.csv,8 Av,Sea Beach,0
40.631386,-74.005351,MTA_Subway.csv,Fort Hamilton Pkwy,Sea Beach,0
40.624842,-73.996353,MTA_Subway.csv,New Utrecht Av,Sea Beach,0
40.620671,-73.990414,MTA_Subway.csv,18 Av,Sea Beach,0
40.61741,-73.985026,MTA_Subway.csv,20 Av,Sea Beach,0
40.611815,-73.981848,MTA_Subway.csv,Bay Pkwy,Sea Beach,0
40.603923,-73.980353,MTA_Subway.csv,Kings Hwy,Sea Beach,0
40.597473,-73.979137,MTA_Subway.csv,Avenue U,Sea Beach,0
40.592721,-73.97823,MTA_Subway.csv,86 St,Sea Beach,0
40.700492,-73.828294,MTA_Subway.csv,121 St,Jamaica,0
40.697418,-73.836345,MTA_Subway.csv,111 St,Jamaica,0
40.695178,-73.84433,MTA_Subway.csv,104 St,Jamaica,0
40.693879,-73.851576,MTA_Subway.csv,Woodhaven Blvd,Jamaica,0
40.692435,-73.86001,MTA_Subway.csv,85 St-Forest Pkwy,Jamaica,0
40.691324,-73.867139,MTA_Subway.csv,75 St-Elderts Ln,Jamaica,0
40.689941,-73.87255,MTA_Subway.csv,Cypress Hills,Jamaica,0
40.683194,-73.873785,MTA_Subway.csv,Crescent St,Jamaica,0
40.68141,-73.880039,MTA_Subway.csv,Norwood Av,Jamaica,0
40.679947,-73.884639,MTA_Subway.csv,Cleveland St,Jamaica,0
40.678024,-73.891688,MTA_Subway.csv,Van Siclen Av,Jamaica,0
40.676992,-73.898654,MTA_Subway.csv,Alabama Av,Jamaica,0
40.679498,-73.904512,MTA_Subway.csv,Broadway Junction,Jamaica,0
40.682893,-73.910456,MTA_Subway.csv,Chauncey St,Jamaica,0
40.68637,-73.916559,MTA_Subway.csv,Halsey St,Jamaica,0
40.68963,-73.92227,MTA_Subway.csv,Gates Av,Jamaica,0
40.693342,-73.928814,MTA_Subway.csv,Kosciuszko St,Jamaica,0
40.697207,-73.935657,MTA_Subway.csv,Myrtle Av,Jamaica,0
40.70026,-73.941126,MTA_Subway.csv,Flushing Av,Jamaica,0
40.703869,-73.947408,MTA_Subway.csv,Lorimer St,Jamaica,0
40.70687,-73.953431,MTA_Subway.csv,Hewes St,Jamaica,0
40.708359,-73.957757,MTA_Subway.csv,Marcy Av,Jamaica,0
40.718315,-73.987437,MTA_Subway.csv,Delancey St-Essex St,Jamaica,0
40.72028,-73.993915,MTA_Subway.csv,Bowery,Jamaica,0
40.718092,-73.999892,MTA_Subway.csv,Canal St,Jamaica,0
40.713243,-74.003401,MTA_Subway.csv,Chambers St,Jamaica,0
40.710374,-74.007582,MTA_Subway.csv,Fulton St,Jamaica,0
40.706476,-74.011056,MTA_Subway.csv,Broad St,Jamaica,0
40.711396,-73.889601,MTA_Subway.csv,Middle Village-Metropolitan Av,Myrtle Av,0
40.706186,-73.895877,MTA_Subway.csv,Fresh Pond Rd,Myrtle Av,0
40.704423,-73.903077,MTA_Subway.csv,Forest Av,Myrtle Av,0
40.702762,-73.90774,MTA_Subway.csv,Seneca Av,Myrtle Av,0
40.69943,-73.912385,MTA_Subway.csv,Myrtle-Wyckoff Avs,Myrtle Av,0
40.698664,-73.919711,MTA_Subway.csv,Knickerbocker Av,Myrtle Av,0
40.697857,-73.927397,MTA_Subway.csv,Central Av,Myrtle Av,0
40.739777,-74.002578,MTA_Subway.csv,8 Av,Canarsie,0
40.737335,-73.996786,MTA_Subway.csv,6 Av,Canarsie,0
40.734789,-73.99073,MTA_Subway.csv,14 St-Union Sq,Canarsie,0
40.732849,-73.986122,MTA_Subway.csv,3 Av,Canarsie,0
40.730953,-73.981628,MTA_Subway.csv,1 Av,Canarsie,0
40.717304,-73.956872,MTA_Subway.csv,Bedford Av,Canarsie,0
40.714063,-73.950275,MTA_Subway.csv,Lorimer St,Canarsie,0
40.714565,-73.944053,MTA_Subway.csv,Graham Av,Canarsie,0
40.711926,-73.94067,MTA_Subway.csv,Grand St,Canarsie,0
40.707739,-73.93985,MTA_Subway.csv,Montrose Av,Canarsie,0
40.706152,-73.933147,MTA_Subway.csv,Morgan Av,Canarsie,0
40.706607,-73.922913,MTA_Subway.csv,Jefferson St,Canarsie,0
40.703811,-73.918425,MTA_Subway.csv,DeKalb Av,Canarsie,0
40.699814,-73.911586,MTA_Subway.csv,Myrtle-Wyckoff Avs,Canarsie,0
40.695602,-73.904084,MTA_Subway.csv,Halsey St,Canarsie,0
40.688764,-73.904046,MTA_Subway.csv,Wilson Av,Canarsie,0
40.682829,-73.905249,MTA_Subway.csv,Bushwick Av-Aberdeen St,Canarsie,0
40.678856,-73.90324,MTA_Subway.csv,Broadway Junction,Canarsie,0
40.675345,-73.903097,MTA_Subway.csv,Atlantic Av,Canarsie,0
40.669367,-73.901975,MTA_Subway.csv,Sutter Av,Canarsie,0
40.664038,-73.900571,MTA_Subway.csv,Livonia Av,Canarsie,0
40.658733,-73.899232,MTA_Subway.csv,New Lots Av,Canarsie,0
40.650573,-73.899485,MTA_Subway.csv,East 105 St,Canarsie,0
40.646654,-73.90185,MTA_Subway.csv,Canarsie-Rockaway Pkwy,Canarsie,0
40.680596,-73.955827,MTA_Subway.csv,Franklin Av,Franklin Shuttle,0
40.674772,-73.957624,MTA_Subway.csv,Park Pl,Franklin Shuttle,0
40.670343,-73.959245,MTA_Subway.csv,Botanic Garden,Franklin Shuttle,0
40.868072,-73.919899,MTA_Subway.csv,Inwood-207 St,8th Av - Fulton St,0
40.865491,-73.927271,MTA_Subway.csv,Dyckman St,8th Av - Fulton St,0
40.859022,-73.93418,MTA_Subway.csv,190 St,8th Av - Fulton St,0
40.851695,-73.937969,MTA_Subway.csv,181 St,8th Av - Fulton St,0
40.847391,-73.939704,MTA_Subway.csv,175 St,8th Av - Fulton St,0
40.840719,-73.939561,MTA_Subway.csv,168 St,8th Av - Fulton St,0
40.836013,-73.939892,MTA_Subway.csv,163 St-Amsterdam Av,8th Av - Fulton St,0
40.830518,-73.941514,MTA_Subway.csv,155 St,8th Av - Fulton St,0
40.824783,-73.944216,MTA_Subway.csv,145 St,8th Av - Fulton St,0
40.824783,-73.944216,MTA_Subway.csv,145 St,Concourse,0
40.817894,-73.947649,MTA_Subway.csv,135 St,8th Av - Fulton St,0
40.811109,-73.952343,MTA_Subway.csv,125 St,8th Av - Fulton St,0
40.805085,-73.954882,MTA_Subway.csv,116 St,8th Av - Fulton St,0
40.800603,-73.958161,MTA_Subway.csv,Cathedral Pkwy (110 St),8th Av - Fulton St,0
40.796092,-73.961454,MTA_Subway.csv,103 St,8th Av - Fulton St,0
40.791642,-73.964696,MTA_Subway.csv,96 St,8th Av - Fulton St,0
40.785868,-73.968916,MTA_Subway.csv,86 St,8th Av - Fulton St,0
40.781433,-73.972143,MTA_Subway.csv,81 St-Museum of Natural History,8th Av - Fulton St,0
40.775594,-73.97641,MTA_Subway.csv,72 St,8th Av - Fulton St,0
40.768296,-73.981736,MTA_Subway.csv,59 St-Columbus Circle,8th Av - Fulton St,0
40.762456,-73.985984,MTA_Subway.csv,50 St,8th Av - Fulton St,0
40.757308,-73.989735,MTA_Subway.csv,42 St-Port Authority Bus Terminal,8th Av - Fulton St,0
40.752287,-73.993391,MTA_Subway.csv,34 St-Penn Station,8th Av - Fulton St,0
40.745906,-73.998041,MTA_Subway.csv,23 St,8th Av - Fulton St,0
40.740893,-74.00169,MTA_Subway.csv,14 St,8th Av - Fulton St,0
40.732338,-74.000495,MTA_Subway.csv,W 4 St-Wash Sq,8th Av - Fulton St,0
40.732338,-74.000495,MTA_Subway.csv,W 4 St-Wash Sq,6th Av - Culver,0
40.726227,-74.003739,MTA_Subway.csv,Spring St,8th Av - Fulton St,0
40.720824,-74.005229,MTA_Subway.csv,Canal St,8th Av - Fulton St,0
40.714111,-74.008585,MTA_Subway.csv,Chambers St,8th Av - Fulton St,0
40.712582,-74.009781,MTA_Subway.csv,World Trade Center,8th Av - Fulton St,0
40.710197,-74.007691,MTA_Subway.csv,Fulton St,8th Av - Fulton St,0
40.699337,-73.990531,MTA_Subway.csv,High St,8th Av - Fulton St,0
40.692338,-73.987342,MTA_Subway.csv,Jay St-MetroTech,8th Av - Fulton St,0
40.688484,-73.985001,MTA_Subway.csv,Hoyt-Schermerhorn Sts,8th Av - Fulton St,0
40.686113,-73.973946,MTA_Subway.csv,Lafayette Av,8th Av - Fulton St,0
40.683263,-73.965838,MTA_Subway.csv,Clinton-Washington Avs,8th Av - Fulton St,0
40.68138,-73.956848,MTA_Subway.csv,Franklin Av,8th Av - Fulton St,0
40.680438,-73.950426,MTA_Subway.csv,Nostrand Av,8th Av - Fulton St,0
40.679921,-73.940858,MTA_Subway.csv,Kingston-Throop Avs,8th Av - Fulton St,0
40.679364,-73.930729,MTA_Subway.csv,Utica Av,8th Av - Fulton St,0
40.678822,-73.920786,MTA_Subway.csv,Ralph Av,8th Av - Fulton St,0
40.67834,-73.911946,MTA_Subway.csv,Rockaway Av,8th Av - Fulton St,0
40.678334,-73.905316,MTA_Subway.csv,Broadway Junction,8th Av - Fulton St,0
40.674542,-73.896548,MTA_Subway.csv,Liberty Av,8th Av - Fulton St,0
40.67271,-73.890358,MTA_Subway.csv,Van Siclen Av,8th Av - Fulton St,0
40.67413,-73.88075,MTA_Subway.csv,Shepherd Av,8th Av - Fulton St,0
40.675377,-73.872106,MTA_Subway.csv,Euclid Av,8th Av - Fulton St,0
40.677044,-73.86505,MTA_Subway.csv,Grant Av,Liberty Av,0
40.679371,-73.858992,MTA_Subway.csv,80 St,Liberty Av,0
40.679843,-73.85147,MTA_Subway.csv,88 St,Liberty Av,0
40.680429,-73.843853,MTA_Subway.csv,Rockaway Blvd,Liberty Av,0
40.681711,-73.837683,MTA_Subway.csv,104 St,Liberty Av,0
40.684331,-73.832163,MTA_Subway.csv,111 St,Liberty Av,0
40.685951,-73.825798,MTA_Subway.csv,Ozone Park-Lefferts Blvd,Liberty Av,0
40.672097,-73.835919,MTA_Subway.csv,Aqueduct Racetrack,Rockaway,0
40.668234,-73.834058,MTA_Subway.csv,Aqueduct-N Conduit Av,Rockaway,0
40.660476,-73.830301,MTA_Subway.csv,Howard Beach-JFK Airport,Rockaway,0
40.608382,-73.815925,MTA_Subway.csv,Broad Channel,Rockaway,0
40.588034,-73.813641,MTA_Subway.csv,Beach 90 St,Rockaway,0
40.585307,-73.820558,MTA_Subway.csv,Beach 98 St,Rockaway,0
40.583209,-73.827559,MTA_Subway.csv,Beach 105 St,Rockaway,0
40.580903,-73.835592,MTA_Subway.csv,Rockaway Park-Beach 116 St,Rockaway,0
40.590927,-73.796924,MTA_Subway.csv,Beach 67 St,Rockaway,0
40.592374,-73.788522,MTA_Subway.csv,Beach 60 St,Rockaway,0
40.592943,-73.776013,MTA_Subway.csv,Beach 44 St,Rockaway,0
40.595398,-73.768175,MTA_Subway.csv,Beach 36 St,Rockaway,0
40.600066,-73.761353,MTA_Subway.csv,Beach 25 St,Rockaway,0
40.603995,-73.755405,MTA_Subway.csv,Far Rockaway-Mott Av,Rockaway,0
40.874811,-73.878855,MTA_Subway.csv,Norwood-205 St,Concourse,0
40.873244,-73.887138,MTA_Subway.csv,Bedford Park Blvd,Concourse,0
40.866978,-73.893509,MTA_Subway.csv,Kingsbridge Rd,Concourse,0
40.861296,-73.897749,MTA_Subway.csv,Fordham Rd,Concourse,0
40.856093,-73.900741,MTA_Subway.csv,182-183 Sts,Concourse,0
40.85041,-73.905227,MTA_Subway.csv,Tremont Av,Concourse,0
40.8459,-73.910136,MTA_Subway.csv,174-175 Sts,Concourse,0
40.839306,-73.9134,MTA_Subway.csv,170 St,Concourse,0
40.833771,-73.91844,MTA_Subway.csv,167 St,Concourse,0
40.827905,-73.925651,MTA_Subway.csv,161 St-Yankee Stadium,Concourse,0
40.830135,-73.938209,MTA_Subway.csv,155 St,Concourse,0
40.754203,-73.942836,MTA_Subway.csv,21 St-Queensbridge,63rd St,0
40.759145,-73.95326,MTA_Subway.csv,Roosevelt Island,63rd St,0
40.764629,-73.966113,MTA_Subway.csv,Lexington Av/63 St,63rd St,0
40.763972,-73.97745,MTA_Subway.csv,57 St,6th Av - Culver,0
40.758663,-73.981329,MTA_Subway.csv,47-50 Sts-Rockefeller Ctr,6th Av - Culver,0
40.754222,-73.984569,MTA_Subway.csv,42 St-Bryant Pk,6th Av - Culver,0
40.749719,-73.987823,MTA_Subway.csv,34 St-Herald Sq,6th Av - Culver,0
40.742878,-73.992821,MTA_Subway.csv,23 St,6th Av - Culver,0
40.738228,-73.996209,MTA_Subway.csv,14 St,6th Av - Culver,0
40.725297,-73.996204,MTA_Subway.csv,Broadway-Lafayette St,6th Av - Culver,0
40.718267,-73.993753,MTA_Subway.csv,Grand St,6th Av - Culver,0
40.723402,-73.989938,MTA_Subway.csv,2 Av,6th Av - Culver,0
40.718611,-73.988114,MTA_Subway.csv,Delancey St-Essex St,6th Av - Culver,0
40.713715,-73.990173,MTA_Subway.csv,East Broadway,6th Av - Culver,0
40.701397,-73.986751,MTA_Subway.csv,York St,6th Av - Culver,0
40.686145,-73.990862,MTA_Subway.csv,Bergen St,6th Av - Culver,0
40.680303,-73.995048,MTA_Subway.csv,Carroll St,6th Av - Culver,0
40.67358,-73.995959,MTA_Subway.csv,Smith-9 Sts,6th Av - Culver,0
40.670272,-73.989779,MTA_Subway.csv,4 Av-9 St,6th Av - Culver,0
40.666271,-73.980305,MTA_Subway.csv,7 Av,6th Av - Culver,0
40.660365,-73.979493,MTA_Subway.csv,15 St-Prospect Park,6th Av - Culver,0
40.650782,-73.975776,MTA_Subway.csv,Fort Hamilton Pkwy,6th Av - Culver,0
40.644041,-73.979678,MTA_Subway.csv,Church Av,6th Av - Culver,0
40.636119,-73.978172,MTA_Subway.csv,Ditmas Av,6th Av - Culver,0
40.629755,-73.976971,MTA_Subway.csv,18 Av,6th Av - Culver,0
40.625322,-73.976127,MTA_Subway.csv,Avenue I,6th Av - Culver,0
40.620769,-73.975264,MTA_Subway.csv,Bay Pkwy,6th Av - Culver,0
40.61514,-73.974197,MTA_Subway.csv,Avenue N,6th Av - Culver,0
